OpenDSS Value (p.u.),Bus
0.0,udm42394
0.0,udm42396
0.0,udm42782
0.0,udm44437
0.0,udm44438
0.0,udm45634
0.0,udm42179
0.0,udt1949-udt1951xx
0.0,udt1949-udt1951x
0.0,udt15328-udt1961xx
0.0,udt12322-udt5135xxx
0.0,udt10888-udt5148x
0.0,udt10888-udt5148xx
0.0,udt14009-udt5158xx
0.0,udt14009-udt5158x
0.0,udt14685-udt5158x
0.0,udt12322-udt5135xx
0.0,udt14685-udt5158xx
0.0,udt14685-udt18202x
0.0,udt16785-udt18698x
0.0,udt12117-udt13882x
0.0,udt12117-udt13882xx
0.0,udt12117-udt18970xx
0.0,udt12117-udt18970x
0.0,udt14685-udt18202xx
0.0,udm38660
0.0,udt1957-udt5135x
0.0,udt13030-udt1957x
0.0,udt15328-udt1961x
0.0,udt1951-udt1961xx
0.0,udt1951-udt1961xxx
0.0,udt17400-udt1938xx
0.0,udt17400-udt1938x
0.0,udt12225-udt1938xx
0.0,udt1957-udt5135xx
0.0,udt12225-udt1938xxx
0.0,udt12933-udt5134xxx
0.0,udt11446-udt1952x
0.0,udt11446-udt1952xx
0.0,udt11446-udt13030xx
0.0,udt11446-udt13030x
0.0,udt13030-udt1957xx
0.0,udt12933-udt5134xx
0.0,udm37775
0.0,udm36823
0.0,udm36822
0.0,udm19279
0.0,udm19284
0.0,udm19281
0.0,udm19286
0.0,udm19283
0.0,udm19282
0.0,udm7839
0.0,udm19291
0.0,udm19289
0.0,udm19294
0.0,udm19295
0.0,udm19298
0.0,udm19296
0.0,udm19299
0.0,udm19293
0.0,udm19302
0.0,udm7840
0.0,udm7836
0.0,udt13265-udt14134xxx
0.0,udt14399-udt793xxx
0.0,udt16117-udt791xxx
0.0,udt10424-udt15994xx
0.0,udt10424-udt15994x
0.0,udm7762
0.0,udm7837
0.0,udm7763
0.0,udm7803
0.0,udm7805
0.0,udm7802
0.0,udm7812
0.0,udm7813
0.0,udm7811
0.0,udm7800
0.0,udt15142-udt18970x
0.0,udm19300
0.0,udm19308
0.0,udm19356
0.0,udm19358
0.0,udm19359
0.0,udm19377
0.0,udm19378
0.0,udm19379
0.0,udm19355
0.0,udm19376
0.0,udm19382
0.0,udm19386
0.0,udm19388
0.0,udm19390
0.0,udm19391
0.0,udm36631
0.0,udm19381
0.0,udm19306
0.0,udm19352
0.0,udm19351
0.0,udm19305
0.0,udm19309
0.0,udm19310
0.0,udm19312
0.0,udm19316
0.0,udm19313
0.0,udm19349
0.0,udm19317
0.0,udm19323
0.0,udm19321
0.0,udm19322
0.0,udm19330
0.0,udm19329
0.0,udm19331
0.0,udm19319
0.0,udt13214-udt14134xxx
0.0,udt15142-udt18970xx
0.0,p1umv87-udt15142xx
0.0,udt13348-udt14635xx
0.0,udm43437
0.0,udm56012
0.0,udm56011
0.0,udt12291-udt5133xx
0.0,udt12291-udt5133x
0.0,udt5132-udt5133x
0.0,udt5132-udt5133xx
0.0,udt12933-udt5132x
0.0,udt12933-udt5132xx
0.0,udt12933-udt5137xx
0.0,udt12933-udt5137x
0.0,udt5137-udt5139xx
0.0,udt5137-udt5139x
0.0,udt12322-udt5139x
0.0,udt12322-udt5139xx
0.0,udt19012-udt5131x
0.0,udm46456
0.0,udm46457
0.0,udm39873
0.0,p1umv39-udt688x
0.0,p1umv39-udt688xx
0.0,p1umv39-udt11849xx
0.0,udt13348-udt14635x
0.0,p1umv39-udt11849x
