Loading (p.u.),Name,Bus1,Bus2
2.6332439886781445,Line.l(r:p1ulv31605-udt4295lv),udt4295lv.1.2,p1ulv31605.1.2
2.6336972638655656,Line.l(r:p1ulv54007-udt19774lv),udt19774lv.1.2,p1ulv54007.1.2
2.6339889452356218,Line.l(r:p1ulv32464-udt13592lv),udt13592lv.1.2,p1ulv32464.1.2
2.634105099635228,Line.l(r:p1ulv16911-udt8122lv),udt8122lv.1.2,p1ulv16911.1.2
2.635054315892266,Line.l(r:p1ulv44772-udt17476lv),udt17476lv.1.2,p1ulv44772.1.2
2.635146088714473,Line.l(r:p1ulv3761-udt1777lv),udt1777lv.1.2,p1ulv3761.1.2
2.6352585395266517,Line.l(r:p1ulv56747-udt20300lv),udt20300lv.1.2,p1ulv56747.1.2
2.6359519382566794,Line.l(r:p1ulv50171-udt18011lv),udt18011lv.1.2,p1ulv50171.1.2
2.636115930515379,Line.l(r:udm57023-udt19152lv),udt19152lv.1.2,udm57023.1.2
2.636115987688629,Line.l(r:p1ulv60891-udm57023),udm57023.1.2,p1ulv60891.1.2
2.6367552660091267,Line.l(r:p1ulv37070-udt14778lv),udt14778lv.1.2,p1ulv37070.1.2
2.6373774475095315,Line.l(r:p1ulv43601-udt17146lv),udt17146lv.1.2,p1ulv43601.1.2
2.637693463330134,Line.l(r:p1ulv41810-udt16470lv),udt16470lv.1.2,p1ulv41810.1.2
2.6377521842378013,Line.l(r:udm57897-udt19540lv),udt19540lv.1.2,udm57897.1.2
2.637752375236146,Line.l(r:p1ulv53060-udm57897),udm57897.1.2,p1ulv53060.1.2
2.6387271655217575,Line.l(r:p1ulv14306-udt6775lv),udt6775lv.1.2,p1ulv14306.1.2
2.6392709232327185,Line.l(r:p1ulv31637-udt13333lv),udt13333lv.1.2,p1ulv31637.1.2
2.6397684016013714,Line.l(r:p1ulv15330-udt7353lv),udt7353lv.1.2,p1ulv15330.1.2
2.6401939222443205,Line.l(r:p1ulv55495-udt20071lv),udt20071lv.1.2,p1ulv55495.1.2
2.6404715259574933,Line.l(r:p1ulv8867-udt4036lv),udt4036lv.1.2,p1ulv8867.1.2
2.6409215150019274,Line.l(r:p1ulv14513-udt6886lv),udt6886lv.1.2,p1ulv14513.1.2
2.6418304755663713,Line.l(r:udm58159-udm58161),udm58161.1.2,udm58159.1.2
2.643313722709129,Line.l(r:udm55963-udt18575lv),udt18575lv.1.2,udm55963.1.2
2.643313885066597,Line.l(r:p1ulv48676-udm55963),udm55963.1.2,p1ulv48676.1.2
2.643443818721037,Line.l(r:p1ulv58850-udt20604lv),udt20604lv.1.2,p1ulv58850.1.2
2.6434476183649394,Line.l(r:p1ulv35343-udt14369lv),udt14369lv.1.2,p1ulv35343.1.2
2.643476991956864,Line.l(r:p1ulv33239-udt13802lv),udt13802lv.1.2,p1ulv33239.1.2
2.64437077999558,Line.l(r:udm35669-udt10401lv),udt10401lv.1.2,udm35669.1.2
2.6443713127543496,Line.l(r:p1ulv24130-udm35669),udm35669.1.2,p1ulv24130.1.2
2.6446435149441645,Line.l(r:udm41828-udt12617lv),udt12617lv.1.2,udm41828.1.2
2.6446436374638465,Line.l(r:p1ulv29570-udm41828),udm41828.1.2,p1ulv29570.1.2
2.6450536949033108,Line.l(r:p1ulv54722-udt19939lv),udt19939lv.1.2,p1ulv54722.1.2
2.645202156345003,Line.l(r:p1ulv53759-udt19714lv),udt19714lv.1.2,p1ulv53759.1.2
2.646221958060248,Line.l(r:p1ulv13876-udt6523lv),udt6523lv.1.2,p1ulv13876.1.2
2.646882156289476,Line.l(r:p1ulv47750-udt14867lv),udt14867lv.1.2,p1ulv47750.1.2
2.647549954761775,Line.l(r:udm35767-udt10442lv),udt10442lv.1.2,udm35767.1.2
2.6475506604858547,Line.l(r:p1ulv24226-udm35767),udm35767.1.2,p1ulv24226.1.2
2.6478015592217865,Line.l(r:p1ulv24129-udt10400lv),udt10400lv.1.2,p1ulv24129.1.2
2.647857252395993,Line.l(r:p1ulv43343-udt17019lv),udt17019lv.1.2,p1ulv43343.1.2
2.647909854876178,Line.l(r:p1ulv36968-udt12132lv),udt12132lv.1.2,p1ulv36968.1.2
2.648537969771765,Line.l(r:p1ulv24140-udt10407lv),udt10407lv.1.2,p1ulv24140.1.2
2.649123358331983,Line.l(r:udm8866-udt2217lv),udt2217lv.1.2,udm8866.1.2
2.6492381579642834,Line.l(r:p1ulv16371-udt7880lv),udt7880lv.1.2,p1ulv16371.1.2
2.6495918891472865,Line.l(r:udm39174-udt11605lv),udt11605lv.1.2,udm39174.1.2
2.6495919766474607,Line.l(r:p1ulv27227-udm39174),udm39174.1.2,p1ulv27227.1.2
2.6514274429113476,Line.l(r:udm42432-udt12865lv),udt12865lv.1.2,udm42432.1.2
2.6514275449247657,Line.l(r:p1ulv38208-udm42432),udm42432.1.2,p1ulv38208.1.2
2.6521976464480557,Line.l(r:p1ulv48889-udt17785lv),udt17785lv.1.2,p1ulv48889.1.2
2.6529734032041876,Line.l(r:p1ulv56377-udt20232lv),udt20232lv.1.2,p1ulv56377.1.2
2.6533671521215023,Line.l(r:p1ulv43627-udm20305),udm20305.1.2,p1ulv43627.1.2
2.6539913165143054,Line.l(r:p1ulv1508-udt731lv),udt731lv.1.2,p1ulv1508.1.2
2.654550995829716,Line.l(r:udm24483-udm24484),udm24484.1.2,udm24483.1.2
2.6545513817413138,Line.l(r:p1ulv23995-udm24483),udm24483.1.2,p1ulv23995.1.2
2.654986126522932,Line.l(r:udm13610-udt3447lv),udt3447lv.1.2,udm13610.1.2
2.6549875058094394,Line.l(r:p1ulv38367-udm13610),udm13610.1.2,p1ulv38367.1.2
2.655429962850676,Line.l(r:p1ulv7389-udm13151),udm13151.1.2,p1ulv7389.1.2
2.6557984701286634,Line.l(r:p1ulv47751-udt18307lv),udt18307lv.1.2,p1ulv47751.1.2
2.655938851207005,Line.l(r:p1ulv45870-udt17825lv),udt17825lv.1.2,p1ulv45870.1.2
2.6561837110431723,Line.l(r:p1ulv44064-udt17287lv),udt17287lv.1.2,p1ulv44064.1.2
2.6569121911207274,Line.l(r:p1ulv16380-udm28874),udm28874.1.2,p1ulv16380.1.2
2.6573641998899284,Line.l(r:p1ulv47164-udm41238),udm41238.1.2,p1ulv47164.1.2
2.6600429663922665,Line.l(r:udm40214-udt11977lv),udt11977lv.1.2,udm40214.1.2
2.6601710539228143,Line.l(r:udm46901-udt15379lv),udt15379lv.1.2,udm46901.1.2
2.660308123049382,Line.l(r:p1ulv24243-udm35789),udm35789.1.2,p1ulv24243.1.2
2.6616557236029914,Line.l(r:p1ulv45427-udt16906lv),udt16906lv.1.2,p1ulv45427.1.2
2.6622540453005534,Line.l(r:udm36160-udt10555lv),udt10555lv.1.2,udm36160.1.2
2.662254234849989,Line.l(r:p1ulv37436-udm36160),udm36160.1.2,p1ulv37436.1.2
2.6641777566891185,Line.l(r:p1ulv24229-udt10442lv),udt10442lv.1.2,p1ulv24229.1.2
2.666305210060732,Line.l(r:udm58887-udt20076lv),udt20076lv.1.2,udm58887.1.2
2.666305227091588,Line.l(r:p1ulv55530-udm58887),udm58887.1.2,p1ulv55530.1.2
2.6667901094053823,Line.l(r:p1ulv5776-udt2615lv),udt2615lv.1.2,p1ulv5776.1.2
2.6670868546591997,Line.l(r:p1ulv24529-udm36196),udm36196.1.2,p1ulv24529.1.2
2.6671093661672147,Line.l(r:udm50504-udt16407lv),udt16407lv.1.2,udm50504.1.2
2.6671097382897173,Line.l(r:p1ulv41701-udm50504),udm50504.1.2,p1ulv41701.1.2
