year,month,day,hour,temperature,GHI
2020,1,29,2,-13.7,0
2020,1,29,3,-14.4,0
2020,1,29,4,-15.2,0
2020,1,29,5,-16.2,0
2020,1,29,6,-16.9,0
2020,1,29,7,-17.5,67
2020,1,29,8,-17.9,237
2020,1,29,9,-18.2,333
2020,1,29,10,-18.7,333
2020,1,29,11,-19.3,350
2020,1,29,12,-19.7,368
2020,1,29,13,-18.7,355
2020,1,29,14,-16.4,231
2020,1,29,15,-14.3,60
2020,1,29,16,-12.2,0
2020,1,29,17,-10.9,0
2020,1,29,18,-10.1,0
2020,1,29,19,-10.1,0
2020,1,29,20,-11.3,0
2020,1,29,21,-14,0
2020,1,29,22,-16.3,0
2020,1,29,23,-17.6,0
2020,1,29,24,-18.1,0
2020,1,30,1,-18.9,0
2020,1,30,2,-19.8,0
2020,1,30,3,-20.2,0
2020,1,30,4,-20.1,0
2020,1,30,5,-20.4,0
2020,1,30,6,-20.7,0
2020,1,30,7,-20.7,80
2020,1,30,8,-20.2,240
2020,1,30,9,-19.9,330
2020,1,30,10,-20.1,336
2020,1,30,11,-20.5,344
2020,1,30,12,-20.7,349
2020,1,30,13,-19.2,330
2020,1,30,14,-16.3,212
2020,1,30,15,-13.8,48
2020,1,30,16,-11.8,0
2020,1,30,17,-9.9,0
2020,1,30,18,-9,0
2020,1,30,19,-8.8,0
2020,1,30,20,-9.8,0
2020,1,30,21,-11.8,0
2020,1,30,22,-12.9,0
2020,1,30,23,-13.3,0
2020,1,30,24,-13.8,0
2020,1,31,1,-14.1,0
2020,1,31,2,-14,0
2020,1,31,3,-14,0
2020,1,31,4,-14.5,0
2020,1,31,5,-15.3,0
2020,1,31,6,-16.1,0
2020,1,31,7,-16.8,86
2020,1,31,8,-17.1,248
2020,1,31,9,-17.5,365
2020,1,31,10,-17.6,356
2020,1,31,11,-17.7,368
2020,1,31,12,-17.7,367
2020,1,31,13,-15.9,328
2020,1,31,14,-11.7,241
2020,1,31,15,-8.8,63
2020,1,31,16,-7.5,0
2020,1,31,17,-6.3,0
2020,1,31,18,-5.6,0
2020,1,31,19,-5.7,0
2020,1,31,20,-7.3,0
2020,1,31,21,-10.5,0
2020,1,31,22,-11.8,0
2020,1,31,23,-11.9,0
2020,1,31,24,-11.9,0
2020,2,1,1,-11.6,0
2020,2,1,2,-11,0
2020,2,1,3,-10.5,0
2020,2,1,4,-9.7,0
2020,2,1,5,-8.8,0
2020,2,1,6,-8.1,0
2020,2,1,7,-7.5,55
2020,2,1,8,-6.9,116
2020,2,1,9,-6.6,165
2020,2,1,10,-6.6,180
2020,2,1,11,-6.9,180
2020,2,1,12,-7.4,172
2020,2,1,13,-7.6,222
2020,2,1,14,-5.9,126
2020,2,1,15,-4.6,39
2020,2,1,16,-3.8,0
2020,2,1,17,-3.4,0
2020,2,1,18,-3.3,0
2020,2,1,19,-3.5,0
2020,2,1,20,-4,0
2020,2,1,21,-5.7,0
2020,2,1,22,-7.3,0
2020,2,1,23,-8,0
2020,2,1,24,-8.1,0
2020,2,2,1,-8.1,0
2020,2,2,2,-8.1,0
2020,2,2,3,-8.1,0
2020,2,2,4,-8.1,0
2020,2,2,5,-7.9,0
2020,2,2,6,-7.8,0
2020,2,2,7,-7.7,56
2020,2,2,8,-7.9,148
2020,2,2,9,-8.1,280
2020,2,2,10,-8,248
2020,2,2,11,-7.9,185
2020,2,2,12,-7.9,226
2020,2,2,13,-7.4,198
2020,2,2,14,-5.5,126
2020,2,2,15,-3.8,59
2020,2,2,16,-2.8,0
2020,2,2,17,-2.4,0
2020,2,2,18,-2.4,0
2020,2,2,19,-2.6,0
2020,2,2,20,-3.4,0
2020,2,2,21,-5,0
2020,2,2,22,-6.6,0
2020,2,2,23,-7.3,0
2020,2,2,24,-7.5,0
2020,2,3,1,-7.6,0
2020,2,3,2,-7.8,0
2020,2,3,3,-7.9,0
2020,2,3,4,-8.1,0
2020,2,3,5,-8.4,0
2020,2,3,6,-8.5,0
2020,2,3,7,-8.6,84
2020,2,3,8,-8.5,135
2020,2,3,9,-8.8,135
2020,2,3,10,-10,187
2020,2,3,11,-10.3,240
2020,2,3,12,-9.7,153
2020,2,3,13,-7.5,165
2020,2,3,14,-5.8,58
2020,2,3,15,-4.3,31
2020,2,3,16,-3,0
2020,2,3,17,-2,0
2020,2,3,18,-1.3,0
2020,2,3,19,-0.8,0
2020,2,3,20,-0.6,0
2020,2,3,21,-1.2,0
2020,2,3,22,-2,0
2020,2,3,23,-2.8,0
2020,2,3,24,-3.4,0
2020,2,4,1,-4,0
2020,2,4,2,-5.1,0
2020,2,4,3,-6.1,0
2020,2,4,4,-7,0
2020,2,4,5,-8,0
2020,2,4,6,-8.9,0
2020,2,4,7,-10,55
2020,2,4,8,-10.8,114
2020,2,4,9,-11.1,128
2020,2,4,10,-11.4,198
2020,2,4,11,-11.1,177
2020,2,4,12,-10.7,32
2020,2,4,13,-9.2,144
2020,2,4,14,-5.8,73
2020,2,4,15,-4,44
2020,2,4,16,-2.6,0
2020,2,4,17,-1.7,0
2020,2,4,18,-1.1,0
2020,2,4,19,-0.8,0
2020,2,4,20,-1.1,0
2020,2,4,21,-2.3,0
2020,2,4,22,-4.5,0
2020,2,4,23,-5.1,0
2020,2,4,24,-4.7,0
2020,2,5,1,-3.8,0
2020,2,5,2,-3.6,0
2020,2,5,3,-4,0
2020,2,5,4,-4.6,0
2020,2,5,5,-5.5,0
2020,2,5,6,-7,0
2020,2,5,7,-8.7,89
2020,2,5,8,-10.2,275
2020,2,5,9,-11.4,392
2020,2,5,10,-12.6,366
2020,2,5,11,-13.7,383
2020,2,5,12,-14.4,365
2020,2,5,13,-13.3,322
2020,2,5,14,-11.5,272
2020,2,5,15,-11,87
2020,2,5,16,-10.8,0
2020,2,5,17,-10.8,0
2020,2,5,18,-10.9,0
2020,2,5,19,-11.3,0
2020,2,5,20,-12,0
2020,2,5,21,-13.5,0
2020,2,5,22,-14.7,0
2020,2,5,23,-15.1,0
2020,2,5,24,-16,0
2020,2,6,1,-17.3,0
2020,2,6,2,-18.8,0
2020,2,6,3,-19.7,0
2020,2,6,4,-19.2,0
2020,2,6,5,-18.1,0
2020,2,6,6,-16.5,0
2020,2,6,7,-15.4,48
2020,2,6,8,-14.8,65
2020,2,6,9,-14.2,73
2020,2,6,10,-13.7,97
2020,2,6,11,-13.3,154
2020,2,6,12,-12.8,91
2020,2,6,13,-11.6,92
2020,2,6,14,-10.1,68
2020,2,6,15,-8.8,38
2020,2,6,16,-7.5,0
2020,2,6,17,-6.4,0
2020,2,6,18,-5.8,0
2020,2,6,19,-5.4,0
2020,2,6,20,-5.5,0
